date,is_festive_season,festival_name,harvest_season_type
2020_06_27,0,None,Zaid Lean Season
2020_06_28,0,None,Zaid Lean Season
2020_06_29,0,None,Zaid Lean Season
2020_06_30,0,None,Zaid Lean Season
2020_07_01,0,None,Zaid Lean Season
2020_07_02,0,None,Zaid Lean Season
2020_07_03,0,None,Zaid Lean Season
2020_07_04,0,None,Zaid Lean Season
2020_07_05,0,None,Zaid Lean Season
2020_07_06,0,None,Zaid Lean Season
2020_07_07,0,None,Zaid Lean Season
2020_07_08,0,None,Zaid Lean Season
2020_07_09,0,None,Zaid Lean Season
2020_07_10,0,None,Zaid Lean Season
2020_07_11,0,None,Zaid Lean Season
2020_07_12,0,None,Zaid Lean Season
2020_07_13,0,None,Zaid Lean Season
2020_07_14,0,None,Zaid Lean Season
2020_07_15,0,None,Zaid Lean Season
2020_07_16,0,None,Zaid Lean Season
2020_07_17,0,None,Zaid Lean Season
2020_07_18,0,None,Zaid Lean Season
2020_07_19,0,None,Zaid Lean Season
2020_07_20,0,None,Zaid Lean Season
2020_07_21,0,None,Zaid Lean Season
2020_07_22,0,None,Zaid Lean Season
2020_07_23,0,None,Zaid Lean Season
2020_07_24,0,None,Zaid Lean Season
2020_07_25,0,None,Zaid Lean Season
2020_07_26,0,None,Zaid Lean Season
2020_07_27,0,None,Zaid Lean Season
2020_07_28,0,None,Zaid Lean Season
2020_07_29,0,None,Zaid Lean Season
2020_07_30,0,None,Zaid Lean Season
2020_07_31,0,None,Zaid Lean Season
2020_08_01,1,Id-ul-Zuha (Bakrid),Zaid Lean Season
2020_08_02,0,None,Zaid Lean Season
2020_08_03,0,None,Zaid Lean Season
2020_08_04,0,None,Zaid Lean Season
2020_08_05,0,None,Zaid Lean Season
2020_08_06,0,None,Zaid Lean Season
2020_08_07,0,None,Zaid Lean Season
2020_08_08,0,None,Zaid Lean Season
2020_08_09,0,None,Zaid Lean Season
2020_08_10,0,None,Zaid Lean Season
2020_08_11,0,None,Zaid Lean Season
2020_08_12,1,Janmashtami (Vaishnava),Zaid Lean Season
2020_08_13,0,None,Zaid Lean Season
2020_08_14,0,None,Zaid Lean Season
2020_08_15,1,Independence Day,Zaid Lean Season
2020_08_16,0,None,Zaid Lean Season
2020_08_17,0,None,Zaid Lean Season
2020_08_18,0,None,Zaid Lean Season
2020_08_19,0,None,Zaid Lean Season
2020_08_20,0,None,Zaid Lean Season
2020_08_21,0,None,Zaid Lean Season
2020_08_22,0,None,Zaid Lean Season
2020_08_23,0,None,Zaid Lean Season
2020_08_24,0,None,Zaid Lean Season
2020_08_25,0,None,Zaid Lean Season
2020_08_26,0,None,Zaid Lean Season
2020_08_27,0,None,Zaid Lean Season
2020_08_28,0,None,Zaid Lean Season
2020_08_29,0,None,Zaid Lean Season
2020_08_30,1,Muharram,Zaid Lean Season
2020_08_31,0,None,Zaid Lean Season
2020_09_01,1,None,Kharif Harvest
